Название,Автор,Описание
Режим бога. Зенит Красной Звезды (#2),Алексей Вязовский,Продолжение Восхода Красной Звезды.
Белая Роза,Валери Кир,"Никогда не мечтала оказаться попаданкой, но волей случая стала одной из них. Загадочный мир принял меня как родную, не обделив таинственными способностями и хоть и верными, но опасными спутниками. Только вот, что за все эти радости надо платить, никто не уточнял, и теперь Смерть преследует меня на каждом шагу. Но я не сдамся, пока рядом со мной любимые люди."
Демоника,Геннадий Логинов,"Новеллизация по мотивам малоизвестной, но атмосферной игры."
СКАЙЛАЙН становление псиона,Алекс Нагорный,"Продолжение космической саги. Стать избранным – дело случая. Что ты будешь делать, если им станешь? Космические приключения, учёба в тайной академии и интриги Содружества Пяти Галактик.Аудиокнига всего за 126 р доступна слушателямhttps://www.litres.ru/aleksandr-nagornyy-12536004/skaylayn-stanovlenie-psiona-33391453"
"""Ковчег 5.0. Флаг над крепостью""",Андрей Васильев,"Четвертый роман из цикла ""Группа ""Свата"", входящего в межавторский проект Руслана ""Дема"" Михайлова ""Ковчег 5.0"". Данный проект будет условно-бесплатным, то есть будет выложен на странице почти целиком, за исключением последних 3 глав. Аннотация. Мир Ковчега принимает все более и более обжитой вид, но это не значит, что на его карте не осталось ""белых пятен"", которые так интересны людям с шилом, торчащим из одного места. Обложка работы Кирилла Цапина, за что ему огромное ""спасибо"""
"Реинкарнировал в мире ЭРОГЕ! [Арка 3.5 - Сталкер, что подползает к тебе с улыбкой]",grimuare,"Мегане Неко - дочь владельца корпораций, избалованная богачка, самовлюбленная мечтательница, наивная и при этом мстительная, обладательница скверного характера и объемной груди и... сталкер. Сперва это было жаждой мести, но вскоре стало жаждой любви. Это история о Сталкере, что подползает к тебе с улыбкой на устах...[События этой книги происходят параллельно событиям Арки 3 https://author.today/work/12878 от лица другого персонажа]"
Ты можешь идти один,Василий Криптонов,"Провинциальный городок, начало 2000-х. Дима, ученик выпускного класса, страдает от непонимания со стороны родителей, агрессии одноклассников, неразделенной любви. Он не видит ни малейшего просвета в жизни и поверил, что так и должно быть. Но однажды его просит об услуге новичок. Странный парень, которого, возможно, не без оснований прозвали Маленьким Принцем."
"Обыкновенная Королева Демонов Том 2 - Nothing Personal, Witch",grimuare,"Меня сбил странный грузовик и я попал в мир фентези. Банальная история? Для меня точно нет!Теперь у меня рога, клыки, острые уши и огромные буфера (ну хоть что то хорошее).И я будущий труп. И знаете почему? Меня угораздило реинкарнироваться в теле Королевы Демонов – Тиамат.Финального босса игры, которую убьет герой. Финального босса выдуманной мною же игры! Я что сам себе смертный приговор подписал?"
"Палач, скрипачка и дракон",Василий Криптонов,"Скрипачка Энрика должна была выйти замуж до нового года. Этот брак спас бы ее семью от разорения, а ее саму - от двух одинаково безрадостных перспектив: монастырь или работный дом. Однако девушку жестоко подставил жених, и теперь на ее руке черная метка, за ней идет безжалостный палач. В панике Энрика обращается к старому другу, ученику колдуна, и тот переносит ее на другой край земли, туда, где новый год еще не наступил. У Энрики есть меньше двенадцати часов, чтобы найти себе мужа и избежать казни. Но палач отправляется вслед за ней - в город, откуда его когда-то изгнали за преступление, которого не простили по сей день. В город, над которым нависла тень дракона, каждый год требующего новую жертву. Чтобы выжить, палач и скрипачка должны объединиться."
Я Апокалипсис - Приятно Познакомиться. Том 1.,Драйко Ворон,"Обычный день, 10 июля 2016 года. Люди по всему миру наслаждались погожим летним днём. Всё было как всегда, в новостях сообщали о погоде, вооружённых конфликтах, массовых беспорядках и конечно же освещали последние значимых событиях в спорте. В общем мир жил своей простой и скучной жизнью. И как оказалось это надоело Высшим Силам. – Я приветствую жителей этого мира, позвольте вас поздравить, вам выпала невероятная возможность. С этого дня в вашем мире начинается Апокалипсис, а все вы будете его участниками и игроками. Не нужно паники, большинство из вас могут продолжить жить своей обычной жизнью. Многим предоставится шанс осуществить свои сокровенные Желания. Ну а меньшая часть будет теми кому предстоит отдуваться за всё человечество и вершить вашу Судьбу. Ещё раз поздравляю, желаю вам приятно провести ваш Апокалипсис..."
Юмал,Мартин Аратои,"Что если современная компьютерная игра начнет проявляться в реальности? Хорошо, если вы житель этого мира и знакомы с такими словами как: Квест, Характеристики и Система. А если в такой мир попадет Существо извне, которому не понятны принципы компьютерных игр? Каков будет его путь в новом чуждом ему мире? Сможет ли отыскать дорогу домой или решит остаться?"
Атлант. Книга четвертая. Изгой,Artshm,Аннотация отсутствует.
Новейший Свет. Ингвар: первые шаги,Алекс Бадинтер,"Ужасающая травма в день мальчишника, прямо перед собственной свадьбой, делает успешного молодого человека - инвалидом. Все планы летят в тартарары: невеста не желает продолжения отношений с человеком что возможно так и останется до конца дней своих ""полурастением"", лучший друг погибает во время того же ДТП, собственное здоровье подорванно... Пока родители обещают что со временем всё наладится и они что придумают, со сломанным во многих местах позвоночником сына: продадут фирмы отца и найдут деньги на дорогостоящее лечение - Игорь пытается найти хоть кроху надежды для продолжения жизни и внезапно обнаруживает что давно рекламируемый переход, в ""цифровики"", оцифровывание собственного сознания Корпорацией и полноценное проживание на сервере Новейшего Света, возможность зарабатывать там деньги - это Шанс!"
"Призван, чтобы защитить?",NonSemper,"Продолжение «Призван, чтобы умереть?», повествующей о Нико – простом парне, попавшем после смерти в другой мир, где ему необходимо защищать самую слабую фракцию. Вместе с обязанностями пришли любовь, семья и новые друзья, но далеко не все хотят спокойной жизни в таком мире.После финальных событий предыдущей книги герой оказался в сложном положении – вдали от семьи и близких, ему нужно обнаружить путь назад и найти способ предотвратить надвигающуюся катастрофу. Все произошедшее выглядит чудовищной ошибкой и недопониманием, но со временем откроются новые обстоятельства…"
Слово и Чистота: Проекция,Александр Зайцев,"«Кому много дано, с того много и спросится"". Часто, обретая что-то, мы забываем об этих простых словах. Мне же лучше помнить о них всегда. Я - Рыцарь Излома, моё предназначение - защищать мир от угрозы Прорывов. И отказаться от этой ""чести"" я не могу. Таково условие возрождения в этом чужом, обманчиво похожем на прежний, но во многом непонятном мире. И да, мне воистину - многое дано..."
Варлок 2. Поле боя,"Широков Алексей, Александр Шапочкин","Варлок 3 (прододжение) - https://author.today/work/6889Кузьма Ефимов, пределом мечтаний которого ещё вчера было стать командиром отряда наёмников, сегодня обживается в элитнейшем колледже Российской Империи, и на равных с отпрысками аристократов участвует Большой игре. Победа на подпольном турнире принесла ему славу сильнейшего новичка, но и добавила кучу проблем. А тут ещё в качестве посла от Первого Императорского прибывает цесаревна Инна. И всё бы ничего, но Кузьму лично нанимают для её охраны. А значит пришла пора отринуть детские страхи и обиды, примириться со своей сущность и стать сильнейшим колдуном поколения – Варлоком."
Бард. Альбом второй: Бард Мрака,Гедеон,"Профессиональный музыкант, ищущий вдохновение в игре, способен на всё. Вступить на путь Мрака? Легко! Получить отрицательную репутацию со всем игровым миром? Запросто! Отправиться в игровой загробный мир в поисках душ погибших героев, хранящих самые интересные истории? С удовольствием!"
Квазар. Демонический бог. Том 3-й.,Антон Тутынин,"Путь Квазара к его цели выходит на финишную прямую. Сможет ли он вернуть время назад или воскресить своих погибших товарищей? Миры демонов, различные измерения и боги, не согласные с его возвышением. Его ждёт множество различных препятствий!"
Поглощение 2,Ткачев Андрей,"Любая история имеет свое начало. Так и изменения в мире, повлекшие за собой хаос, имели предпосылки. Все утверждали, что магия вернулась, но никто не говорил, что она когда-то исчезала."
Ингви фон Крузенштерн,Владимир Атомный,"В Шведском могущественном роду Крузенштерн растёт средний сын Ингви - полукровка, его мать русская. Жизнь шестнадцатилетнего парня проходит в трудном и болезненном обучении искусству боя и попытках одолеть брата. Ингви живёт в жестоком мире, где соперничают три страны: Российская Империя, Свейское Королевство и Королевство Англия. Плетутся интриги и ведётся подковёрная борьба. Роду Крузенштернов угрожает опасность, как самому могучему в королевстве. К чему же приведёт противостояние? Сможет ли Ингви выжить в мире, где крепнет гиблое дыхание некромантии, а людские пороки могут повлечь гибель империй?"
ORBIS 1,Асачёв Тарас,"Надоели сопливые ласковые вампирчики, блестящие на солнце? Сил нет смотреть на чопорные рожи аристократов? Хотите настоящей крови, расчлененки и монстров в стиле Носферату? Вы готовы спуститься в виртуальные канализации, полные боли и крови? Увидеть мир глазами офисного клерка, обретшего власть над сумерками? Того, кто дружит с мертвыми и русалками? Того, кто не знает жалости, того, кто готов встать против всех вампирских родов? Тогда эта книга для вас! Встречайте – ""ОРБИС"", книга первая!"
Рон Уизли и Бремя Бессмертного,N02far,"Это продолжение, или типа того, фанфика Сокрытое Крыло. Главный персонаж тот же. Мир другой. Это не кроссовер. Персонаж Минакуро Като, он же Кьюджин. ПОСЛЕ ВСЕХ событий фанфика Крыло. После смерти снова перерождается. В Рональде Уизли. Никаких переходящих способностей. Никаких. Никакого послезнания, и он вообще ничего не знает о мире Гарри шрам на лбу Поттера. Только своя память, только свой опыт, только хардкор."
Самый злой вид 2. Просто кровь.,Абабков Андрей,"Позади первая зима в новом мире. В небе местное светило, такое же смертоносное, как и раньше, правда уже привычное и не страшное. А впереди многочисленные местные проблемы. Жизнь продолжается. Настало время изменять окружение под себя!"
Вы призвали не того... (книга 3),Айтбаев Т.А.,"Андрей продолжает свой путь в сторону столицы людей. И кто рискнет встать на пути Буревестника? Может быть, рыцари ордена света? Или стая бездушных оборотней? А может быть древнее зло, пробужденное его силой? Или бывшая Хранительница мира, жаждущая его крови? Или одна свихнувшаяся Крылатая Дева? Старые и новые друзья и враги. И просто те, кому не посчастливилось оказаться рядом с зарождающейся Бурей Судеб."
Некомант (18+),NonSemper,"Кто знает, чем может закончиться история о том, как простой студент, собрав волю в кулак, спасает незнакомку от нападения озверевшей собаки, особенно если пострадавшая девица может похвастаться наличием кошачьих ушек и хвоста? Если не растеряться, то можно получить класс «Некомант» вкупе с новыми возможностями, что может обещать как море приятных моментов, так и океан новых проблем, хотя, что может устоять перед някающей командой концентрированной милоты? [Лайт-новелла] [Хентай-новелла]"
Призрачный ученик.,Николай Метельский,"Главный герой рождается в семье магов, но при этом калекой - он не может толком использовать магию. Мелкие фокусы возможны, но путь магии для него закрыт. Так и сложилась бы его история подобно многим таким как он, если бы не самоуверенный и, чего уж там, гениальный мечник из другого мира, которому взбрело в голову найти себе идеального ученика. Помимо уже существующей у него школы."
Путь Падшего,Магазинников Иван,"Низверженный ангел оказывается на Земле, в теле умирающего 40-летнего бродяги среди Лос-Анджелеских трущоб, лишенный всех своих сил и способностей. Любой другой бы на его месте сдался, но у него есть Игровой Интерфейс, знания и Цель. А знания архангела, имя которому Люцифер - стоят очень дорого!"
Плывущие меж звёзд,Давыдов С.А.,"Странный космос, странный космофлот, но лица всё те же - авантюристы, торговцы и первопроходцы одинаковы во всех мирах и у всех рас..."
Варлок 3 Фаворитки,"Широков Алексей, Александр Шапочкин","Варлок 4 (продолжение) - https://author.today/work/11447Варлок 2 - https://author.today/work/5809В Москву пришла зима. Но Кузьму «Варлока» Ефимова это ничуть не расстроило. Наконец-то он может, как и другие студенты просто ходить на уроки, заниматься спортом и гулять с девушками. Но если ты колдун с силами Аватара, то вряд ли у тебя когда-нибудь всё будет как у обычного подростка. Если уроки – у одного из лучших диверсантов Первой Магической Войны, спорт – то такой, где замешаны большие деньги, а девушки запросто могут оказаться цесаревнами. А тут ещё придётся лететь на другой континент, в Северо-Американскую Либерократию, на суд. Проект в соавторстве с Шапочкиным Александром"
Жестокая игра (книга 3) Смерть,Павел Коршунов,"Обрести свободу, но потерять память. Выжить и вспомнить все. Вернуться, чтобы умереть. Вот только смерть это еще не конец. Смерть - это лишь начало пути…"
Темный Завет Ушедших,Георгий Смородинский,Думаю над аннотацией. Обложка временная.
Взгляд Волка (СИ),Нефер Митанни,"Маша Аверинцева едет в родную деревню к деду на новогодние каникулы. Неожиданно автомобиль глохнет на лесной дороге. Девушка пешком отправляется в деревню по ночному лесу. С ней случается нечто жуткое, что заставляет опасаться за свою жизнь."
"Вы призвали не того... (книга 5, том 1)",Айтбаев Т.А.,"Столица королевства замерла в напряжении. Тут и там раздается шепот о грядущей войне, но не с внешним врагом... Вот только жителям совсем невдомек, что война уже идет. Каждую ночь на улицах кто-то умирает: от наконечника черного Копья, от клыков вампира или когтей монстра. Старый Король против Буревестника, за спиной которого хитро улыбается уродливая Принцесса. Однако двумя сторонами это противостояние не ограничивается, и на охоту выходят новые ""игроки"". И отнюдь не за троном. А тем временем среди далеких звезд закручиваются совсем другие события..."
Путь Шамана. Шаг 5: Шахматы Кармадонта,Василий Маханенко,"Приключения Шамана продолжаются! Утих ветер в Темном лесу, Альтамеда признала своего нового владельца, Гераника продолжает вынашивать планы уничтожения всего живого – игровой мир Барлионы начал входить в привычную колею обыденности и повседневности. Но такая жизнь не для Махана! Новые сценарии, новые монстры, новые Подземелья, новый статус – Верховный Шаман не знает слова «привычно». Если ученик, то такой, которому запрещено работать с Духами. Если корабль, то такой, которого никогда не видели в этом мире. Если любовь, то такая, что уничтожается несколько кварталов города. Ведь все должно быть так, как подсказывают ощущения!"
Танцующая Тень,Михаил Дулепа,"Не наш мир, не наша реальность, знакомые нам проблемы...Ученик старшей школы Эмильен Дано обретает свой Дар. Теперь он должен служить на благо всех Городов-под-Куполами, ведь Дар это возможность управлять энергией, которую отдает каждый горожанин на благо и во имя безопасности Города. Его ждут приключения, битвы с безумными вторженцами, и конечно же слава!Или все несколько сложнее, чем ему представлялось?"
Темный Паладин. Книга третья. Рестарт,Василий Маханенко,"Игре чужды эмоции и переживания, основная ее цель - быть целостной и выполнять возложенные на нее функции. Все остальное - вторично. Однако есть исключения. Те, кто имеет право нажимать на кнопку ""рестарт"", стоят особняком относительно других игроков. Они - избранные. Они - на вершине. Они - смертники. Стоит ли быть одним из них, или довольствоваться ролью Проводника - вопрос, на который должен найти ответ Ярополк."
Маг крови,Баковец Михаил,"Когда Вселенная играет мирами - судьбы тысяч простых людей ломаются и это остаётся незаметным для высшего сознания. Так случилось с тысячами землян, которых перенесло в мир, где царствует магия, где огнестрельное оружие помогает слабее, чем зачарованый меч и защитный амулет. За миг - во вселенском масштабе - до столкновения миров у многих людей открылись особые способности, которые помогли выжить им и спасти окружающих."
Вы призвали не того... (книга 4),Айтбаев Т.А.,"Оферон - столица королевства людей. Отсюда Буревестник начал свой путь, и сюда же вернулся. Чтобы убить короля. Вся стража поднята по тревоге, тщательно обыскивая каждый уголок города. По следу идут жаждущая крови вампирша, монстр Бездны и призванная монархом из глубин варпа тварь. Но не они сейчас главная проблема Андрея Буревестника. В этот раз главный его враг - он сам."
Меж молотом и наковальней,Анна Алмазная,"Ну бывает... подумаешь, не то заклинание спьяну прочитала. Ну походил пару дней вампир влюбленным... Он же бессмертный, ему что, времени жалко? Это все Пу и проклятое любопытство!!!Что? Возмездие? Ка-а-а-кое еще возмездие? Издеваетесь? Ничего и слышать не хочу о никаком возмездии!Чего это он на меня так смотрит? Что тут вообще происходит-то? Я... пара  для вампира? Э-э-э-э... как это меня! никто не спрашивает? Да ты с кем так  разговариваешь, а? С потомственной ведьмой, морда бессмертная,  разговариваешь! И хрен ты меня так просто получишь, слышал?"
Дар Демона (Темный маг - 1),Валерия Веденеева,"Семья Арона Тонгила погибла по вине некроманта. Арон отомстил - а затем заключил сделку с демоном, пообещавшим вернуть его родных. Вот только демон не предупредил, что отправит Арона в иную реальность, где человек окажется магом, главой Темного Ковена, тем, которого ненавидит вся империя. Чтобы найти свою семью, ему придется сначала выжить."
"Вы призвали не того... (книга 6, том 3)",Айтбаев Т.А.,Продолжение приключений Буревестника
Самый злой вид. В начале дел кровавых.,Абабков Андрей,"Плохо быть голым. А быть голым вампиром это еще и обидно. Особенно в чужом мире. Правда ты не один, но рядом не верные товарищи, а лишь коллеги по работе и другие малознакомые личности. И у всех своя точка зрения на происходящее. И жить хочется. И крови хочется… Но хорошо, что есть те, кто поддерживает лично тебя. А значит надо выкручиваться, выживая в новом мире и стараясь не попасть под лучи местного светила."
Uingukage. Сокрытый в Тени Крыла,N02far,"Он пришел в совершенно незнакомый ему мир. Не по своей воле и не по своему выбору. И чем больше он узнавал этот мир, тем очевиднее становилось - это мир сильных, где у слабых нет ни свободы, ни выбора. Он не хотел быть слабым, но стать сильным не так-то просто. Но он готов идти вперед, через тела врагов и, если потребуется, друзей. Он не будет подстраиваться под мир. Он его изменит. Сколько бы времени и сил на это не ушло."
Верравия 4. Сердце Империи,Дмитрий Билик,"Мгла сгустилась над Тойрином. К новой столице идет Темный Бог, разрушая все на своем пути. Воинство его растет с каждым днем. И чтобы был хотя бы мизерный шанс вернуться обратно, тебе предстоит одолеть Гаррега. Ведь за ним лежит материк, где ждет тебя Сердце Империи."
Квазар. Демонический бог. Том 2-й.,Антон Тутынин,Продолжение 1-го тома истории Квазара!
Универсал,Иван Шаман,"Маленький мальчик всю жизнь находившийся на домашнем обучении в Российском посольстве в Корее становится свидетелем начала апокалипсиса.Сможет ли он выжить в таком большом внешнем мире, совершенно не готовом к принятию новой формы бытия? Найти друзей среди индивидуалистов? Найти свое место в новой жизни? А быть может именно он сможет спасти мир утопающий в войне? Или он просто сгинет в безвестности под тяжестью собственных демонов и страхов?"
Тяж Книга 2ая,Павел Вяч,"Вадим, бывший офицер тяжелых штурмовиков, разжалованный в рядовые из-за того, что не пошел на сделку со своей совестью совершает очередное, по меркам конституции Земли преступления, подставив под удар доставку антиматерии на Терру-3. И всем плевать на то, что стелс-генератор сдох, а на пути оказалась верфь заклятых врагов Альянса - инсектоидов... Но это было еще полбеды, если бы не эти разноцветные воронки... Горы? Какие в дальнем космосе горы?"
Мастер клинков-4. Клинок заточен,Дмитрий Распопов,"Инквизиция или потерять всё? Смерть или найти украденную жену? Что страшнее старые враги или новые? Что сильнее, легендарное оружие или сотворённое? – на все эти вопросы придётся ответить герою нового романа цикла «Мастер клинков» - Максиму Кузнецову, более известному в новом мире, под именем виконта Максимильяна."
Универсал 2: Кадет,Иван Шаман,"Апокалипсис… Террористы, Зомби, Ядерная война. Беды как нарастающая снежная лавина обрушиваются на человечество. Каждый спасается, как может. И только группа самоотверженных военных через кровь и лишения пытается создать для детей собранных со всего Сахалина иллюзию мира. Их кормят, одевают и обувают. И лишь не многие знают, какой ценой достается каждая кроха.Максим, получивший на вступлении позывной Универсал, один из этих не многих. Но он еще ребенок, находящийся под строгой опекой. Сколько удастся удержать детей от внешнего мира и чем за это придется заплатить? Или они сами подставят плечо, старшим товарищам, удержав его от дальнейшего скатывания в адскую пропасть?"
Князь Благовещенский,Виталий Останин,"Этот мир практически не отличается от нашего. На берегу Амура стоит город Благовещенск, а по другую сторону реки раскинулся китайский Хэйхэ. Только здесь дальневосточной провинцией управляет не губернатор, а правит князь. И магия! Черт, я совсем забыл про магию! В остальном же - никакого фэнтези и эльфиек. И, естественно, никакого “ты избранный, Нео”! Только тело двойника из параллельного мира, который тут такого накрутил, что все вокруг хотят его убить. Но для этого им придется встать в очередь - я грохну эту сволочь первым!"
Трансформа: Во Имя Веры (книга 2),Калашников М.,"Обитель Веры – событие межконтинентального уровня, исход которого способен пробудить спящих богов. Счастливчиком, что сумеют выполнить задание обещают золотые горы и немного сверху, но нашего героя это мало интересует.Много шумихи, мало шансов сорвать куш – взвесив все «за» и «против», Алькор со спокойной душой отказывается от Крестового Похода, вот только у системы на этот счёт имелись собственные планы. Статус дезертира и служба в Грешном Легионе – не самое удачное начало, Проклятого со стажем подобным не напугать."
Дорога к дому 4. Вопреки.,Зверев Павел,"Ты обрел свой дом и нашел свое место, в этом мире. Дело за малым, осталось все это защитить. И порой, защита требуется не от порождений хаоса, не от внимания бездны, а от людей, которые убили в себе человечность. Именно ты, Черный дракон, стоишь у них на пути. И именно твоя жизнь, словно кость в горле. Сможешь ли ты выстоять и стать тем, кого боялись даже демоны? Ты должен. Ведь в книге жизни уже начата твоя глава."
Варлок,Александр Шапочкин,"Кузьму Ефимова ждала слава самого одарённого мага столетия, но безумный эксперимент деда в единый миг перечеркнул все надежды. Теперь его знают только как сильного «воина», тем более, что и сам юноша ныне сторонится всего, что связанно с магией. И хоть ему предстоит учиться в элитном колледже для детей аристократов, своё будущее он видит командиром отряда наёмников. Вот только всё тайное становится явным и множество сильных мира сего ныне вынуждены учитывать в своих планах никому не известного мальчишку по прозвищу «Варлок»."
Утилизация,Тимофей Царенко,"Ткань реальности рвется мокрой бумагой, небо плачет кровью и падает на землю, крича от боли. Безумный смех заглушил голос разума, тьма и свет забились по углам дрожа от ужаса, сказки вырвались из клеток и вышли на улицы городов...Третья, завершающая книга цикла. Я тут хотел ответить на вопрос ""Что значит, быть Богом?"", но это ведь скучно. Так что вопрос теперь звучит иначе: ""Что значит, быть?"""
Ученый в средневековье / Том 1,sandlord,"Лауреат нобелевской премии, и умнейший человек двадцать третьего века сидел и работал в своей лаборатории. Многие страны хотели заручиться его поддержкой, но Грегор всегда всем отказывал, ведь его знания и принципы не продавались за деньги, которых у него кстати тоже было немало. И вот однажды, какая-та организация решает избавиться от великого ученого. Пробравшись в лабораторию Грегора, убийца без раздумий застрелил выдающегося человека столетия. И тогда когда,ученый уже думал что с ним покончено он открывает глаза.Перед Грегором появляется совсем иной мир, в котором он переродился в одного из сыновей великого герцога. Какими будут его свершения,и что он сможет изменить в своей жизни имея знания двадцать третьего века?... ."
"Вы призвали не того... (книга 5, том 2)",Айтбаев Т.А.,"Столица королевства замерла в напряжении. Тут и там раздается шепот о грядущей войне, но не с внешним врагом... Вот только жителям совсем невдомек, что война уже идет. Каждую ночь на улицах кто-то умирает: от наконечника черного Копья, от клыков вампира или когтей монстра. Старый Король против Буревестника, за спиной которого хитро улыбается уродливая Принцесса. Однако двумя сторонами это противостояние не ограничивается, и на охоту выходят новые ""игроки"". И отнюдь не за троном. А тем временем среди далеких звезд закручиваются совсем другие события..."
